# z   D_L(Mpc)   sigma_D(Mpc)
0.010000 53.092518 20.000000
0.062105 275.738025 20.000000
0.114211 543.648025 20.000000
0.166316 829.223900 20.000000
0.218421 1077.087212 20.000000
0.270526 1374.126857 20.000000
0.322632 1720.599828 20.000000
0.374737 2026.914831 20.000000
0.426842 2336.295625 20.000000
0.478947 2701.494457 20.000000
0.531053 3036.489913 20.000000
0.583158 3401.079386 20.000000
0.635263 3788.798188 20.000000
0.687368 4127.638904 20.000000
0.739474 4521.224291 20.000000
0.791579 4941.697805 20.000000
0.843684 5336.876548 20.000000
0.895789 5774.175624 20.000000
0.947895 6166.685573 20.000000
1.000000 6579.411624 20.000000
